Time,acc_x,acc_y,acc_z
0.746,-0.00512,0.00947,-1.01178
0.75,-0.00542,0.00954,-1.01228
0.945,-0.00602,0.00938,-1.01175
0.945,-0.00425,0.00762,-1.01174
1.157,-0.00437,0.00863,-1.0145
1.158,-0.00517,0.00943,-1.01113
1.361,-0.00355,0.00743,-1.01096
1.361,-0.00245,0.0078,-1.01265
1.361,-0.00614,0.00796,-1.01161
1.564,-0.0023,0.01072,-1.01265
1.564,-0.0069,0.00658,-1.01119
1.642,-0.00468,0.00711,-1.01246
1.642,-0.00448,0.0076,-1.01115
1.969,-0.00684,0.00814,-1.01017
1.969,0.11359,-0.00691,-1.00612
1.969,-0.14116,0.05462,-1.00994
2.168,-0.07968,-0.0329,-1.00842
2.168,-0.02688,0.04531,-1.00574
2.38,-0.1063,-0.02948,-1.0053
2.38,-0.06233,0.01342,-1.00114
2.38,0.04515,0.00975,-1.01129
2.38,0.09727,0.01235,-1.01329
2.585,0.00232,0.00737,-1.0123
2.585,-0.094,0.02188,-1.02247
2.585,0.04923,0.00266,-1.01819
2.608,0.10238,0.01196,-1.00876
2.666,-0.00067,0.01176,-1.01012
2.794,-0.07452,0.02329,-1.0089
3.0,0.04895,0.01149,-1.0123
3.001,0.02235,0.01177,-1.01282
3.009,-0.11884,0.01099,-1.00729
3.206,-0.10476,-0.00896,-1.0164
3.408,-0.00909,0.00319,-1.00931
3.408,0.08665,0.01479,-1.01564
3.604,-0.07664,0.0041,-1.00612
3.604,-0.15618,0.01201,-1.00542
3.62,-0.0211,-0.00079,-1.01848
3.62,0.13816,0.02213,-1.02048
3.652,0.08693,-0.05133,-1.00187
4.017,0.10845,0.01037,-1.03079
4.017,-0.07181,0.01721,-1.00966
4.017,-0.15809,-0.00415,-1.00619
4.229,-0.03522,-0.00074,-1.00459
4.432,-0.03393,-0.00018,-1.00763
4.432,0.07221,-0.01324,-1.01873
4.63,-0.04955,-0.00283,-1.00915
4.63,-0.04169,0.00875,-1.00828
4.63,0.10191,-0.00144,-1.01974
4.844,0.09747,0.01642,-1.00805
4.844,-0.04668,0.00797,-1.01292
4.844,-0.14888,0.03014,-1.02104
5.045,0.10343,-0.01116,-1.01943
5.045,-0.16312,0.05529,-1.00317
5.245,-0.0321,-0.00513,-1.01486
5.245,-0.04761,0.01662,-1.00071
5.268,-0.16185,0.04112,-1.0067
5.453,-0.02471,-0.02911,-1.01358
5.453,0.13041,0.01822,-1.00517
5.453,0.10788,-0.01289,-1.01542
5.469,-0.07998,0.04182,-1.01377
5.651,-0.14769,0.01197,-1.00775
5.667,0.14472,-0.00252,-1.00804
5.868,-0.04503,0.05625,-1.01193
5.869,-0.05303,0.02243,-1.00301
5.871,0.12442,0.01138,-1.02482
6.059,0.13936,-0.01389,-1.00693
6.059,-0.01486,0.01717,-1.02076
6.059,-0.08233,0.00656,-1.00912
6.269,0.11131,0.0019,-1.01888
6.287,-0.01221,0.01473,-1.00829
6.287,-0.15486,-0.00956,-1.0117
6.471,0.08905,0.00806,-1.01744
6.471,0.12542,0.02339,-1.01228
6.489,-0.01998,-0.01747,-1.01548
6.489,-0.12694,0.02525,-1.01463
