Time,Distance
0.75,3513
0.75,3559
0.945,3606
1.157,3552
1.158,3562
1.361,3582
1.361,3580
1.361,3595
1.564,3571
1.642,3534
1.683,3495
1.969,3505
1.969,3567
1.969,3683
1.969,3559
1.99,3553
2.168,3625
2.184,3650
2.38,3544
2.38,3607
2.38,3668
2.38,3577
2.585,3586
2.585,3638
2.585,3640
2.63,3640
2.69,3665
2.794,3722
3.001,3756
3.001,3703
3.206,3783
3.408,3811
3.604,3797
3.604,3804
3.62,3788
3.62,3859
4.017,3839
4.017,3885
4.017,3841
4.229,3868
4.432,3858
4.63,3870
4.63,3846
4.844,3851
4.844,3832
4.844,3835
5.045,3846
5.045,3825
5.245,3819
5.245,3831
5.268,3802
5.453,3802
5.453,3820
5.453,3811
5.469,3811
5.651,3813
5.651,3789
5.868,3800
5.869,3760
6.059,3754
6.059,3749
6.269,3754
6.269,3782
6.287,3739
6.288,3770
6.471,3749
6.471,3752
6.489,3733
6.622,3738
6.622,3713
