Time,gyro_x,gyro_y,gyro_z
0.746,-0.00478,0.00105,-2e-05
0.75,-0.01051,0.0007,0.00199
0.945,-0.00465,0.00197,0.00201
0.945,-0.00606,0.00063,-0.0001
1.157,-0.00638,8e-05,0.00252
1.158,-0.00616,0.00144,-0.00052
1.361,-0.00644,0.00167,0.00017
1.361,-0.00522,0.003,0.00077
1.361,-0.00712,0.00147,0.00074
1.564,-0.00631,0.00248,0.00169
1.564,-0.0061,0.00141,0.00171
1.642,-0.00432,0.00305,0.00317
1.642,-0.00416,0.00168,0.00375
1.969,-0.00268,0.00193,0.00173
1.969,0.02309,-0.01925,0.03305
1.969,-0.01873,0.00983,-0.06792
2.168,0.0015,0.00926,0.03878
2.168,0.02957,-0.05259,-0.05081
2.38,-0.01494,0.00737,0.02807
2.38,0.0088,0.02399,0.03291
2.38,-0.02557,0.01923,0.01176
2.38,-0.02305,0.00568,-0.0007
2.585,-0.01733,0.00848,0.00749
2.585,0.01467,-0.02111,-0.03944
2.585,-0.00389,0.0083,-0.00018
2.608,-0.0068,0.00611,-0.00674
2.666,-0.01209,0.00474,-0.00308
2.794,-0.01007,0.00556,-0.00323
3.0,0.0024,0.0009,-0.03336
3.001,-0.00275,-0.00249,0.01091
3.009,0.00285,0.02645,0.01764
3.206,0.00241,-0.03145,0.03476
3.408,-0.00059,0.01481,0.00733
3.408,-0.04565,0.01126,-0.0198
3.604,0.01204,-0.02217,-0.00158
3.604,-0.00861,0.01689,0.00334
3.62,0.00042,0.01768,0.01275
3.62,-0.00024,0.00247,-0.02814
3.652,-0.07358,0.0197,0.10279
4.017,-0.0201,-0.05623,0.05301
4.017,-0.00498,-0.04421,-0.03416
4.017,-4e-05,-0.0058,0.01529
4.229,0.01182,0.01348,0.05326
4.432,0.00328,0.01421,-0.00421
4.432,-0.00397,-0.01446,0.00924
4.63,-0.00117,0.00083,0.04255
4.63,0.00606,-0.00168,0.00964
4.63,-0.01331,0.00217,0.02096
4.844,-0.00906,0.00259,0.01931
4.844,-0.01664,-0.00955,-0.00072
4.844,0.02788,-0.02061,-0.04665
5.045,-0.02573,0.00717,0.02667
5.045,0.04598,-0.01318,-0.04233
5.245,-0.00914,0.02084,-0.02346
5.245,0.01898,0.00571,-0.00648
5.268,-0.00021,-0.00517,-0.06173
5.453,0.0063,0.01046,-0.01416
5.453,-0.00092,0.02165,0.0141
5.453,-0.04107,0.00781,0.02823
5.469,-0.02121,-0.00197,-0.00731
5.651,-0.00812,0.00069,0.00465
5.667,-0.02633,-0.00771,0.01627
5.868,-0.01637,-0.02496,-0.06329
5.869,-0.01185,0.02727,0.01268
5.871,-0.01344,0.00919,0.00375
6.059,0.00352,-0.00979,0.02937
6.059,-0.029,-0.05112,-0.02948
6.059,-0.00329,0.01767,0.01522
6.269,-0.00335,0.02319,0.00543
6.287,-0.00855,-0.01488,-0.00516
6.287,-0.0132,0.0026,0.01511
6.471,-0.00223,0.01678,-0.00163
6.471,-0.00141,-0.01057,-0.01775
6.489,-0.02103,-0.00658,0.03606
6.489,-0.03065,0.00423,-0.00855
