Time,Distance
1.395,4270
1.396,4506
1.399,4473
1.596,4543
1.597,4510
1.598,4547
1.808,4474
1.808,4518
1.808,4457
1.808,4433
1.971,4494
1.971,4528
1.986,4540
2.21,4478
2.212,4475
2.212,4506
2.414,4477
2.414,4521
2.414,4498
2.604,4513
2.62,4500
2.62,4498
2.636,4472
2.824,4521
2.824,4523
2.839,4497
2.982,4492
3.014,4511
3.228,4508
3.236,4497
3.439,4513
3.645,4507
3.65,4503
3.653,4525
3.848,4406
3.85,2151
3.85,1352
3.858,1352
3.993,1273
3.993,1287
4.056,1279
4.251,1188
4.463,1220
4.463,1289
4.668,1311
4.669,1360
4.669,1657
5.003,1965
5.003,2504
5.003,4496
5.02,4479
5.066,4503
5.283,4499
5.283,4476
5.293,4447
5.488,4479
5.501,4509
5.515,4477
5.69,4529
5.69,4529
5.69,4502
5.902,4532
6.015,4503
6.015,4481
6.274,4525
6.274,4484
6.292,4491
6.32,4515
6.369,4459
6.5,4544
6.579,4507
6.592,4456
6.608,4472
6.672,4497
6.77,4512
6.77,4499
6.868,4466
7.034,4528
7.034,4507
7.036,4454
7.192,4514
7.206,4490
7.22,4553
7.333,4493
7.369,4506
7.511,4472
7.538,4509
7.648,4523
7.809,4510
7.81,4480
7.81,4486
7.958,4486
7.958,4532
7.993,4485
8.103,4476
8.26,4485
8.26,4470
8.373,4561
8.387,4453
8.419,4525
8.532,4460
8.532,4518
8.549,4443
8.709,4476
8.709,4461
8.719,4490
8.855,4505
8.855,4498
8.871,4480
8.971,4470
8.982,4536
9.132,4496
9.134,4472
9.134,4466
9.265,4519
9.265,4466
9.394,4459
9.411,4476
9.514,4474
9.632,4505
9.658,4493
9.77,4472
9.773,4505
9.788,4490
9.898,4502
10.023,4475
10.058,4502
10.138,4505
10.278,4470
10.286,4443
10.414,4511
10.414,4476
10.524,4518
10.524,4504
10.559,4482
10.652,4490
10.702,4494
10.788,4487
10.788,4472
10.936,4482
10.96,4470
11.056,4522
11.056,4467
11.176,4504
11.176,4510
11.314,4498
11.314,4468
11.436,4498
11.453,4495
11.578,4513
11.578,4513
11.614,4525
12.045,4490
12.045,4532
12.045,4489
12.045,4518
12.098,4506
12.247,4499
12.261,4480
12.451,4479
12.451,4520
12.451,4491
12.657,4477
12.661,4493
12.859,4336
12.862,3048
12.862,1689
13.066,1030
13.068,1011
13.118,1017
13.129,1016
13.199,1036
13.28,1028
13.476,1025
13.492,1032
13.672,1024
13.681,1017
13.885,1016
13.886,998
13.895,1205
14.116,1282
14.116,4375
14.293,4454
14.501,4470
14.501,4459
14.703,4496
14.705,4501
14.708,4445
14.71,4456
14.909,4482
14.909,4449
15.1,4477
15.115,4482
15.318,4523
15.32,4455
15.517,4475
15.517,4464
15.728,4499
15.736,4468
15.933,4503
15.933,4508
15.939,4534
15.941,4475
16.138,4522
16.142,4521
16.342,4465
16.543,4459
16.559,4482
16.752,4506
16.754,4462
16.957,4459
16.959,4488
16.96,4486
17.146,4509
17.146,4490
17.146,4484
17.368,4521
17.369,4478
17.381,4478
17.381,4486
17.776,4506
17.778,4463
17.778,4484
17.778,4514
17.968,4515
17.968,4482
17.984,4490
18.156,4539
18.156,4480
18.39,4480
18.394,4488
18.595,4496
18.595,4474
18.595,4473
18.595,4487
18.8,4512
18.801,4518
18.997,4470
18.997,4483
19.159,4463
19.159,4476
19.159,4448
19.173,4475
19.241,4514
19.412,4509
19.412,4483
19.412,4522
19.618,4439
19.619,4416
19.826,2700
19.828,858
20.03,774
20.032,752
20.038,776
20.04,783
20.162,785
20.178,785
20.228,784
20.439,649
20.635,741
20.652,787
20.848,1394
21.06,1490
21.06,1496
21.175,1516
21.175,1490
21.256,1494
21.256,1492
21.471,1317
21.476,1527
21.663,1737
21.681,1788
21.683,1835
21.873,1970
21.879,2348
22.073,2779
22.073,2839
22.196,2871
22.196,2860
22.48,2831
22.497,2851
22.676,2833
22.692,2898
22.697,2838
22.894,2820
22.894,2899
22.898,2860
23.098,2853
23.102,2817
23.102,2839
23.102,2850
23.207,3223
23.506,4491
23.516,4497
23.715,4475
23.715,4469
23.92,4462
23.921,4475
23.923,4519
24.127,4490
24.134,4514
24.208,4484
24.32,4476
24.338,4479
24.535,4525
24.539,4518
24.729,4473
24.729,4493
24.942,4458
24.948,4463
24.948,4411
25.134,4444
25.15,4448
25.216,4475
25.354,4449
25.356,4034
25.356,2865
25.559,1697
25.561,1672
25.764,4466
25.781,4433
25.969,4359
25.969,4320
25.969,3969
26.173,1051
26.173,1617
26.173,4421
26.378,4460
26.393,4428
26.569,4507
26.789,4499
26.791,4421
26.993,4469
26.993,4451
27.197,4519
27.242,4457
27.394,4525
27.606,4434
27.608,4471
27.611,4469
27.679,4515
27.811,4515
27.821,4447
27.826,4505
28.017,4514
28.017,4474
28.222,4463
28.63,4481
28.632,4466
28.632,4488
28.633,4502
28.633,4502
28.641,4471
28.824,4443
29.042,4494
29.245,4502
29.245,4480
29.262,4498
29.262,4462
29.451,4481
29.654,4486
29.654,4502
29.86,4484
30.063,4463
30.065,4466
30.08,4501
30.279,4440
30.279,4516
30.279,4523
30.279,4471
30.474,4505
30.492,4458
30.679,4506
30.681,4525
30.681,4497
31.086,4474
31.086,4432
31.086,4506
31.086,4473
31.086,4485
31.265,4471
31.265,4486
31.284,4522
31.403,4474
