Time,acc_x,acc_y,acc_z
0.731,0.0026,0.00525,-1.01324
0.731,0.0026,0.00525,-1.01324
0.859,0.00266,0.00507,-1.01319
0.86,0.00142,0.00731,-1.01222
0.865,0.0018,0.00579,-1.0135
0.87,0.00259,0.00583,-1.013
1.076,0.00123,0.00518,-1.01332
1.076,0.00119,0.00565,-1.0135
1.092,0.0004,0.00599,-1.01348
1.092,0.00085,0.00658,-1.01426
1.092,0.0001,0.00709,-1.0139
1.092,0.00379,0.00528,-1.01363
1.295,0.00323,0.00617,-1.01265
1.295,0.00246,0.00477,-1.01272
1.295,0.0028,0.00589,-1.01323
1.295,0.00321,0.00545,-1.01324
1.295,0.00112,0.00638,-1.01236
1.295,0.0014,0.00504,-1.01237
1.307,-8e-05,0.00636,-1.01131
1.307,-0.00053,0.00649,-1.0125
1.501,0.00154,0.0059,-1.01409
1.506,0.00243,0.00618,-1.012
1.506,0.00107,0.00751,-1.01298
1.506,0.0006,0.00662,-1.01332
1.696,0.00083,0.00649,-1.01502
1.7,0.0033,0.00515,-1.0122
1.7,0.00325,0.00506,-1.01323
1.7,0.00212,0.00549,-1.0129
1.707,0.00226,0.00626,-1.01249
1.749,0.00386,0.00531,-1.01527
1.907,0.0026,0.00763,-1.01411
1.907,0.00301,0.00757,-1.01303
1.907,0.07933,0.00438,-1.00775
1.907,0.24688,0.02488,-1.01234
1.907,0.26253,-0.00497,-1.01312
2.111,0.26164,-0.01683,-1.0374
2.111,0.27773,-0.02396,-0.99707
2.111,0.26127,0.01964,-1.01297
2.111,0.02631,-0.03856,-0.97158
2.111,0.01417,0.00543,-1.05723
2.111,-0.09098,-0.04242,-0.97127
2.32,-0.10036,0.03042,-0.98304
2.321,-0.10037,0.01872,-0.98974
2.321,-0.08327,-0.00282,-1.02499
2.321,-0.03126,-0.01446,-1.03031
2.521,0.09058,-0.00748,-0.96022
2.521,0.09313,0.01958,-1.06053
2.521,0.02776,-0.04661,-0.94638
2.703,0.03683,-0.01625,-1.01782
2.703,0.02399,0.03343,-1.07395
2.704,-0.03603,-0.00887,-0.95681
2.705,-0.05785,0.00599,-1.02786
2.709,-0.04998,0.03658,-1.02458
2.875,-0.06641,0.00535,-0.98616
2.875,0.02101,-0.00751,-0.99495
2.888,0.04283,-0.05405,-0.98498
2.904,0.05942,0.02629,-1.0488
2.92,0.02983,0.03299,-1.0299
2.942,0.01866,-0.03696,-0.98797
2.961,0.06014,-0.00768,-1.00662
2.976,0.04074,0.05644,-1.03153
3.009,-0.01961,0.00367,-1.02822
3.025,-0.00014,-0.03628,-0.96048
3.042,0.02537,0.0259,-1.04644
3.057,-0.00494,0.02284,-1.014
3.089,-0.055,-0.04105,-1.02525
3.121,-0.02271,0.0188,-0.99325
3.142,-0.01709,0.03143,-0.96998
3.169,-0.02835,-0.01846,-1.02181
3.185,-0.04053,-0.00752,-1.05041
3.201,-0.04491,-0.02172,-0.99948
3.216,-0.03256,-0.01088,-0.99981
3.248,-0.01914,0.05805,-1.06752
3.264,-0.03816,0.01926,-0.9721
3.28,-0.01992,-0.0649,-0.99711
3.296,0.00868,-0.00515,-1.02991
3.327,-0.00431,0.00155,-0.94447
3.343,0.0214,-0.01693,-0.99464
3.358,0.03164,0.01004,-1.06089
3.39,-0.00313,0.02997,-1.05336
3.406,-0.00376,-0.04843,-0.95233
3.422,0.03741,-0.02785,-1.00165
3.451,0.03978,0.02818,-1.04503
3.469,0.00161,0.00931,-1.02068
3.49,0.00897,0.00844,-0.96749
3.511,0.0036,0.01829,-1.04081
3.525,0.00712,0.00534,-1.05268
3.543,-0.02903,-0.01844,-0.97157
3.557,-0.01188,-0.00983,-1.01252
3.589,-0.00362,0.00824,-1.03105
3.604,-0.01483,0.01771,-1.01133
3.62,-0.03069,0.01489,-0.97446
3.643,-0.0232,0.00664,-1.03776
3.668,-0.02444,0.01114,-1.03956
3.684,-0.01068,-0.00984,-0.97796
