Time,gyro_x,gyro_y,gyro_z
0.731,-0.00517,0.00374,0.00169
0.731,-0.00517,0.00374,0.00169
0.859,-0.00698,0.00337,0.00137
0.86,-0.00691,0.00511,0.0007
0.865,-0.00481,0.0036,-0.00071
0.87,-0.00714,0.00236,0.00385
1.076,-0.00445,0.00453,0.00298
1.076,-0.00593,0.00522,0.00229
1.092,-0.0043,0.0052,0.00228
1.092,-0.00481,0.00534,-4e-05
1.092,-0.0049,0.00287,0.00012
1.092,-0.00654,0.00412,-0.00164
1.295,-0.00507,0.00165,0.00158
1.295,-0.00573,0.00501,0.00257
1.295,-0.00757,0.00394,-0.00045
1.295,-0.00407,0.00456,0.00461
1.295,-0.00829,0.00588,-0.00166
1.295,-0.0081,0.00388,-0.00052
1.307,-0.00365,0.00183,0.00171
1.307,-0.00508,0.00418,0.00113
1.501,-0.0048,0.00459,0.0007
1.506,-0.00543,0.00282,-0.00046
1.506,-0.00336,0.00402,0.00136
1.506,-0.00631,0.00657,-0.00068
1.696,-0.00664,0.0036,0.00222
1.7,-0.00139,0.00358,0.00211
1.7,-0.00611,0.00454,0.00165
1.7,-0.00494,0.00414,0.00325
1.707,-0.00576,0.00212,-0.00314
1.749,-0.0091,0.00466,0.00082
1.907,-0.00514,0.00221,0.00187
1.907,-0.00635,0.00634,0.00475
1.907,-0.00611,0.0144,-3e-05
1.907,0.02006,0.04818,0.00392
1.907,0.00064,0.01382,0.03454
2.111,-0.03305,0.00997,0.11536
2.111,-0.09528,0.01162,0.16832
2.111,0.0678,0.03628,0.07445
2.111,-0.14456,0.04915,0.05953
2.111,0.04396,-0.01302,-0.03201
2.111,-0.0115,-0.0374,0.04095
2.32,0.01076,-0.00946,-0.02985
2.321,-0.00053,0.01345,-0.02847
2.321,-0.01101,0.00236,-0.03312
2.321,-0.02983,0.00707,0.02616
2.521,0.00038,0.0591,0.00901
2.521,0.01695,-0.03335,-0.0337
2.521,-0.05773,-0.03994,0.05886
2.703,-0.0504,0.04084,0.00175
2.703,-0.00875,-0.09243,-0.04325
2.704,0.00641,-0.03525,0.02639
2.705,-0.02037,-0.021,0.02016
2.709,-0.02898,-0.0022,-0.04861
2.875,0.01679,0.018,-0.0129
2.875,-0.01421,0.01051,-0.01391
2.888,-0.04877,0.03412,0.07096
2.904,0.03837,-0.0153,-0.05226
2.92,0.01367,-0.05034,-0.03094
2.942,-0.06339,0.03581,0.06571
2.961,-0.02921,-0.02298,0.02681
2.976,0.04206,-0.03144,-0.07261
3.009,0.00249,-0.06335,-0.01532
3.025,0.00623,0.00628,0.05061
3.042,0.05865,0.00974,-0.02593
3.057,-0.00593,-0.03787,-0.03296
3.089,-0.05636,-0.0381,0.04828
3.121,0.0469,-0.00829,-0.04141
3.142,-0.03846,0.03159,0.00785
3.169,-0.01536,0.03769,-0.00285
3.185,-0.01549,0.01812,-0.03182
3.201,-0.01977,0.00083,0.04713
3.216,-0.01901,0.05115,0.0338
3.248,0.05632,-0.05229,-0.0867
3.264,-0.00507,-0.00053,-0.01616
3.28,-0.03091,0.03695,0.07377
3.296,-0.04408,0.02189,0.01402
3.327,0.00631,0.02262,0.00819
3.343,-0.0181,0.03932,0.02729
3.358,0.00226,0.00462,-0.01813
3.39,0.02879,-0.01443,-0.03475
3.406,-0.06473,0.02736,0.06478
3.422,-0.02224,0.03152,0.03623
3.451,-0.05617,0.00876,-0.00475
3.469,0.01347,0.05439,-0.00679
3.49,-0.00621,0.01978,0.02387
3.511,-0.04061,0.03163,-0.01814
3.525,0.03876,-0.02511,-0.03647
3.543,0.00179,0.02459,0.04987
3.557,-0.02238,0.00224,0.0181
3.589,-0.04819,-0.01165,0.01287
3.604,-0.01263,0.0301,-0.02434
3.62,0.04667,0.07009,0.004
3.643,-0.01539,0.00307,0.00183
3.668,-0.01811,-0.01774,-0.02491
3.684,-0.02414,0.01907,0.01727
3.701,0.01312,0.02573,0.02598
3.731,-0.00569,-0.03072,-0.02929
3.747,0.02689,0.00145,-0.01952
3.767,-0.09978,0.07585,0.05278
3.779,0.02688,0.0076,0.01671
3.811,0.03214,-0.05548,-0.06377
3.827,-0.01513,-0.01147,0.02172
3.846,-0.03052,0.08333,0.04481
3.86,0.07382,0.05687,-0.04377
3.875,0.01019,-0.05947,-0.06634
3.907,-0.03909,-0.00284,0.04382
3.923,-0.0532,-0.00442,0.02177
3.944,0.04512,0.00553,-0.04667
3.97,0.00373,-0.0294,0.02086
3.986,-0.01615,-0.0112,0.03594
4.002,0.03732,0.02481,-0.04966
4.028,-0.0079,-0.00594,-0.01401
4.044,-0.00823,0.00746,0.0127
4.059,-0.00457,0.01685,-0.00354
4.077,-0.01763,0.01501,0.04212
4.107,-0.0261,0.01566,0.01443
4.123,0.05305,-0.03245,-0.06052
4.144,-0.02947,-0.00147,-0.00565
4.188,-0.01933,-0.0014,0.00049
4.204,0.03217,0.03443,-0.02839
4.22,-0.05246,0.02213,0.04209
4.244,-0.03039,0.02494,0.00742
4.268,0.03997,-0.07104,-0.09299
4.284,0.01669,0.07112,0.00587
4.3,-0.07167,0.04024,0.09644
4.316,-0.06313,0.00645,-0.00075
4.347,0.02866,-0.05222,-0.01451
4.363,0.02387,0.04826,-0.01273
4.379,-0.02941,0.00155,0.0271
4.411,-0.03288,-0.00084,-0.01719
4.427,-0.0041,-0.03487,-0.03322
4.444,-0.03925,0.02605,0.03823
4.459,0.00216,0.03558,0.03728
4.492,-0.0486,-0.01457,-0.00701
4.507,0.03232,0.02916,-0.01739
4.524,0.02438,0.03259,-0.00404
4.549,-0.02208,-0.00952,-0.01094
4.566,-0.00917,-0.01976,-0.04226
4.581,-0.02621,0.00021,0.04464
4.597,0.03043,0.00188,0.02743
4.629,0.00508,-0.03987,-0.0478
4.645,-0.02774,0.02349,-0.0103
4.661,-0.04735,-0.01982,0.04672
4.677,0.06313,-0.00429,-0.03089
4.709,0.01247,-0.02679,-0.06441
4.725,-0.0673,0.04783,0.05051
4.745,-0.04777,-0.03092,0.01495
4.757,0.02507,0.0058,-0.06975
4.79,-0.00242,-0.03614,0.0196
4.806,-0.01228,0.03963,0.03702
4.821,-0.01228,0.03963,0.03702
4.845,-0.04351,-0.05293,-0.0827
4.869,-0.00714,-0.07287,0.02262
4.885,0.00941,0.00769,0.04049
4.901,-0.01011,0.00799,0.06917
4.923,0.00725,0.02786,0.0653
4.948,-0.02047,0.00399,0.07026
4.964,0.00205,0.00926,0.07585
4.982,-0.0114,0.00314,0.03444
4.996,0.00927,-0.00764,-0.1425
5.028,-0.03226,0.02553,-0.46441
5.045,-0.05172,0.03098,-0.62906
5.06,-0.02691,0.04224,-0.63807
5.09,0.04809,-0.01906,-0.41499
5.095,0.00268,0.00674,-0.38979
5.127,-0.00826,0.00997,-0.4316
5.145,-0.04274,0.03076,-0.48343
5.159,-0.01781,0.03291,-0.47754
5.174,-0.02649,0.01832,-0.47618
5.206,-0.01934,0.01633,-0.49963
5.222,-0.00354,0.02002,-0.50377
5.246,-0.00999,0.00647,-0.50445
5.266,0.00478,-0.00544,-0.51029
5.287,0.00403,-0.00264,-0.4822
5.303,-8e-05,0.00712,-0.44677
5.319,-0.00185,0.00652,-0.4165
5.346,0.00064,-0.01047,-0.47542
5.367,-0.02269,-0.013,-0.4975
5.385,-0.01528,0.00756,-0.50322
5.398,0.01208,0.00124,-0.51366
5.431,0.00716,-0.01202,-0.51617
5.446,0.03738,-0.00368,-0.52081
5.462,-0.02681,0.02288,-0.54399
5.478,-0.04109,0.039,-0.54087
5.51,-0.04489,0.02898,-0.54499
5.526,-0.01203,0.02797,-0.49345
5.547,-0.02486,0.02218,-0.48179
5.558,0.04588,-0.00378,-0.43521
5.59,0.0296,-0.00123,-0.45485
5.61,0.01251,-0.00379,-0.51362
5.647,-0.01537,0.01886,-0.60114
