Time,Distance(mm.)
0.536,0
0.558,0
0.563,1207
0.595,1207
0.614,1222
0.643,1222
0.643,1222
0.676,1224
0.691,1224
0.715,1219
0.732,1219
0.750,1219
0.775,1212
0.815,1212
0.815,1197
0.834,1197
0.856,1197
0.872,1183
0.891,1183
0.927,1167
0.936,1167
0.955,1167
0.975,1159
0.995,1159
1.015,1151
1.031,1151
1.046,1151
1.062,1145
1.095,1145
1.112,1140
1.126,1140
1.141,1140
1.193,1132
1.211,1132
1.229,1132
1.254,1132
1.272,1111
1.296,1111
1.314,1098
1.332,1098
1.357,1098
1.375,1079
1.393,1079
1.418,1065
1.436,1065
1.454,1065
1.476,1067
1.497,1067
1.539,1048
1.557,1048
1.575,1042
1.593,1042
1.611,1033
1.636,1033
1.654,1033
1.678,1024
1.697,1024
1.715,1013
1.733,1013
1.757,1013
1.775,1002
1.793,1002
1.812,989
1.836,989
1.854,989
1.872,978
1.915,978
1.932,970
1.957,970
1.976,960
1.996,960
2.027,960
2.027,950
2.043,950
2.075,941
2.091,941
2.108,941
2.124,930
2.156,930
2.172,920
2.189,920
2.204,920
2.235,910
2.252,910
2.268,899
2.289,899
2.315,899
2.331,889
2.356,889
2.365,879
2.399,879
2.413,879
2.437,866
2.460,866
2.469,858
2.489,858
2.533,845
2.549,845
2.565,845
2.596,836
2.614,836
2.629,827
2.644,827
2.676,827
2.692,817
2.708,817
2.724,806
2.756,806
2.772,806
2.795,796
2.811,796
2.850,785
2.850,785
2.866,785
2.891,775
2.923,775
2.935,765
2.956,765
2.970,765
2.991,756
3.002,756
3.036,745
3.049,745
3.065,745
3.097,736
3.129,724
3.145,724
3.177,724
3.193,715
3.209,715
3.224,703
3.256,703
3.272,695
3.293,695
3.310,695
3.335,684
3.368,674
3.415,674
3.431,674
3.447,664
3.472,664
3.492,653
3.504,653
3.536,642
3.552,642
3.575,633
3.596,633
3.616,633
3.635,622
3.641,622
3.677,612
3.696,612
3.716,612
3.737,602
3.756,602
3.776,591
3.796,591
3.816,591
3.835,580
3.841,580
3.876,569
3.909,569
3.925,569
3.941,555
3.975,555
3.996,546
4.015,546
4.031,546
4.046,534
4.062,534
4.095,526
4.110,526
4.131,517
4.142,517
4.174,517
4.192,516
4.206,516
4.237,509
4.253,509
4.269,509
4.292,494
4.316,494
4.332,482
4.348,482
4.364,482
4.395,472
4.411,472
4.427,461
4.443,461
4.475,461
4.493,459
4.517,459
4.536,425
4.548,425
4.564,425
4.596,398
4.614,398
4.628,382
4.644,382
4.691,382
4.701,380
4.707,380
4.723,380
4.755,367
4.771,367
4.793,352
4.818,352
4.834,352
4.850,342
4.866,342
4.894,331
4.917,331
4.934,319
4.947,319
4.963,319
4.995,302
5.011,302
5.036,288
5.054,288
5.070,288
5.094,278
5.103,278
5.134,279
5.151,279
5.167,279
5.194,276
5.230,276
5.246,274
5.267,274
5.294,274
5.311,274
5.326,274
5.342,274
5.374,274
5.394,274
5.407,274
5.423,274
5.454,272
5.470,272
5.494,272
5.502,272
5.534,272
5.549,272
5.565,272
5.595,271
5.617,271
5.630,271
5.646,271
5.677,271
5.695,273
5.709,273
5.725,273
5.741,271
5.778,271
5.796,273
5.814,273
5.835,273
5.854,271
5.869,271
5.896,273
5.912,273
5.933,273
5.955,270
5.966,270
5.998,271
6.015,271
